排名	学号		姓名		专业		年级	GPA
1   	2207110204	熊大  	计算机科学	22  	3.65
2   	2207110201	怡怡  	计算机科学	22  	2.89
3   	2207110102	怡怡  	计算机科学	22  	2.81
4   	2207110101	欣欣  	计算机科学	22  	2.80
5   	2207110104	小馨  	计算机科学	22  	2.74
6   	2207110103	邓邓  	计算机科学	22  	2.44
7   	2207110202	吉吉  	计算机科学	22  	0.94
7   	2207110203	毛毛  	计算机科学	22  	0.94
1   	2307110101	桐桐  	计算机科学	23  	3.71
1   	2307110102	曹曹  	计算机科学	23  	3.71
3   	2307110204	小馨  	计算机科学	23  	3.32
4   	2307110104	章章  	计算机科学	23  	2.99
5   	2307110202	怡怡  	计算机科学	23  	2.81
6   	2307110201	欣欣  	计算机科学	23  	2.60
7   	2307110203	邓邓  	计算机科学	23  	2.44
8   	2307110103	语语  	计算机科学	23  	1.99
