排名	学号		姓名		专业		年级	GPA
1   	2207150101	佳佳  	电子信息	22  	4.55
2   	2207150201	杨杨  	电子信息	22  	4.54
3   	2207150203	蓉蓉  	电子信息	22  	4.32
3   	2207150204	丞丞  	电子信息	22  	4.32
5   	2207150104	飞飞  	电子信息	22  	4.15
6   	2207150103	盈盈  	电子信息	22  	3.21
7   	2207150202	雯雯  	电子信息	22  	3.14
8   	2207150102	大喜  	电子信息	22  	2.67
1   	2307150203	汀汀  	电子信息	23  	4.32
2   	2307150201	范范  	电子信息	23  	2.89
3   	2307150101	桃桃  	电子信息	23  	2.09
3   	2307150202	梦梦  	电子信息	23  	2.09
5   	2307150103	鹿鹿  	电子信息	23  	1.81
6   	2307150104	鹿鹿  	电子信息	23  	1.59
7   	2307150102	范范  	电子信息	23  	1.55
8   	2307150204	子涵  	电子信息	23  	0.26
