排名	学号		姓名		专业		年级	GPA
1   	2207170204	以撒  	信息安全	22  	4.63
2   	2207170202	以扫  	信息安全	22  	4.17
3   	2207170101	张久  	信息安全	22  	3.83
4   	2207170201	雅各  	信息安全	22  	3.35
5   	2207170102	王霸  	信息安全	22  	2.50
5   	2207170103	茜茜  	信息安全	22  	2.50
5   	2207170104	明明  	信息安全	22  	2.50
8   	2207170203	伊萨  	信息安全	22  	1.39
1   	2307170204	乐乐  	信息安全	23  	4.54
2   	2307170202	小丁  	信息安全	23  	3.93
3   	2307170101	张三  	信息安全	23  	3.83
4   	2307170201	小红  	信息安全	23  	3.69
5   	2307170102	李四  	信息安全	23  	2.81
6   	2307170103	王五  	信息安全	23  	2.27
7   	2307170203	天天  	信息安全	23  	1.23
8   	2307170104	小明  	信息安全	23  	0.70
